insee;nom;nb_voisins;insee_voisins
29037;Combrit;5;29170|29085|29220|29296|29216
29038;Commana;7;29266|29266|29202|29054|29013|29277|29262
29039;Concarneau;4;29146|29293|29057|29272
29040;Le Conquet;3;29201|29282|29190
29041;Coray;6;29122|29125|29281|29049|29110|29291
29042;Crozon;5;29120|29001|29280|29022|29238
29043;Daoulas;4;29270|29086|29137|29045
29044;Dinéault;4;29026|29172|29256|29289
29045;Dirinon;5;29103|29156|29270|29043|29140
29046;Douarnenez;4;29090|29087|29224|29226
29047;Le Drennec;6;29055|29179|29095|29160|29126|29100
29048;Edern;6;29267|29122|29291|29110|29020|29062
29049;Elliant;7;29041|29281|29241|29272|29051|29107|29110
29051;Ergué-Gabéric;6;29107|29049|29272|29247|29232|29020
29003;Esquibien;5;29008|29218|29003|29228|29063
29053;Le Faou;3;29078|29302|29240
29054;La Feuillée;6;29007|29081|29018|29013|29038|29202
29055;Le Folgoët;7;29094|29124|29179|29047|29100|29093|29248
29056;La Forest-Landerneau;3;29103|29075|29245
29057;La Forêt-Fouesnant;4;29272|29039|29058|29247
29058;Fouesnant;4;29247|29057|29006|29161
29059;Garlan;6;29251|29113|29199|29199|29151|29186
29060;Gouesnach;2;29161|29032
29061;Gouesnou;4;29160|29075|29019|29015
29062;Gouézec;6;29123|29267|29048|29020|29142|29162
29063;Goulien;5;29008|29003|29003|29228|29028
29064;Goulven;4;29287|29198|29021|29021
29065;Gourlizon;6;29087|29066|29173|29167|29108|29224
