INSEE_COM;Annee;NbMaisonsVendues;NbAppartsVendus;PrixMoyen;Prixm2Moyen;SurfaceMoy
22023;2021;7;0;109953.571428571;1107.28571428571;105
22024;2018;4;0;64450;760;91.75
22024;2019;3;0;62666.6666666667;630.333333333333;95.3333333333333
22024;2020;3;0;66666.6666666667;904;75.3333333333333
22024;2021;3;0;79666.6666666667;1010.66666666667;76
22025;2018;32;0;67776.28125;807.59375;87.4375
22025;2019;38;1;92354.1538461538;957.641025641026;99.5128205128205
22025;2020;52;0;79235.9615384615;858.942307692308;95.4038461538462
22025;2021;70;0;92076.7714285714;1029.12857142857;91.1285714285714
22026;2018;8;0;128850;1427.5;90.75
22026;2019;5;0;157340;1479.8;105.8
22026;2020;8;0;173898.875;1570.75;114
22026;2021;17;0;159469.705882353;1695;92.5294117647059
22027;2018;1;0;130000;828;157
22027;2019;7;0;64514.2857142857;953.571428571429;65.1428571428571
22027;2020;9;0;64589.4444444444;750;93.7777777777778
22027;2021;10;0;80100;894.5;90.4
22028;2018;12;0;173402.5;1435.75;126.416666666667
22028;2019;8;0;129275;1405.375;93.375
22028;2020;7;0;172157.142857143;1351.57142857143;123.285714285714
22028;2021;14;1;168396.666666667;1607.93333333333;102.2
22029;2018;2;0;144750;1305;112
22029;2019;1;0;82000;562;146
22029;2020;7;0;96928.5714285714;1091.14285714286;87.1428571428571
22029;2021;8;0;100437.5;1132.625;113.25
22030;2018;6;0;142475;1079.16666666667;126.166666666667
22030;2019;13;0;124891.230769231;1199.61538461538;106.923076923077
22030;2020;6;0;105583.333333333;1328.5;87.8333333333333
22030;2021;12;0;187008.333333333;1887.41666666667;102.333333333333
22031;2018;16;0;53481.25;668;80.125
22031;2019;17;0;73580.5882352941;833.235294117647;94.5294117647059
22031;2020;7;0;103304.285714286;940.714285714286;104
22031;2021;23;1;83726.75;985.125;91.125
22032;2018;33;0;103625.212121212;1267.57575757576;87.969696969697
22032;2019;31;0;121062.903225806;1123.09677419355;107.838709677419
22032;2020;37;1;137384.473684211;1281.78947368421;112.631578947368
22032;2021;30;5;110959.571428571;1329.6;91.1428571428571
22033;2018;11;0;75384.0909090909;860;100.363636363636
22033;2019;9;0;97543.3333333333;1150.22222222222;85.2222222222222
22033;2020;14;0;88346.6428571429;1224.57142857143;78.2857142857143
22033;2021;16;0;95646.25;1271.375;77.4375
22034;2018;12;0;112041.666666667;1098.91666666667;102.5
22034;2019;15;0;117300;1321.86666666667;99.2
22034;2020;21;0;146812.857142857;1222.14285714286;118.714285714286
22034;2021;23;0;191028.260869565;1859.17391304348;100.217391304348
22035;2018;14;0;142021.642857143;1352.64285714286;102.285714285714
22035;2019;13;0;161230.769230769;1434.23076923077;114.769230769231
22035;2020;11;0;145732.545454545;1604.45454545455;95.7272727272727
22035;2021;23;0;142151.304347826;1876.39130434783;80.0869565217391
22036;2018;3;0;129333.333333333;1320.33333333333;102.666666666667
22036;2019;3;0;86500;1331;59.6666666666667
22036;2020;2;0;102750;858;115
22036;2021;1;0;187500;1705;110
22037;2018;7;0;61700;874.285714285714;70.2857142857143
22037;2019;7;0;55257.1428571429;1036.42857142857;56.5714285714286
22037;2020;11;0;88581.8181818182;967.363636363636;94.1818181818182
22037;2021;13;0;72239.2307692308;965.230769230769;78.5384615384615
22039;2018;7;0;81000;810;101.285714285714
22039;2019;7;0;84285.7142857143;965.857142857143;90.1428571428571
22039;2020;7;0;80000;951.714285714286;86.2857142857143
22039;2021;12;0;114758.75;959.25;117.083333333333
22040;2018;4;0;150000;1119.75;136.25
22040;2019;4;0;89500;822;111
22040;2020;7;0;130900;1323.42857142857;88.5714285714286
22040;2021;12;0;129506.666666667;1320.08333333333;95.25
22041;2018;3;0;181333.333333333;1192.66666666667;151
22041;2019;2;0;127500;1244.5;100
22041;2020;4;0;111500;1098;93
22041;2021;5;0;155000;1342.6;118.8
22042;2018;9;0;124927.777777778;1270.44444444444;96.3333333333333
22042;2019;12;0;123500;1204.25;111.666666666667
22042;2020;4;0;116000;1145;104.5
22042;2021;8;0;214045;1748.375;118.75
22043;2018;3;0;81333.3333333333;814;98.3333333333333
